name,email
Alice Smith,alice@example.com
Bob Johnson,bob@example.com
Charlie Lee,charlie@example.com
Dana White,dana@example.com
Eva Green,eva@example.com
Frank Black,frank@example.com
Grace Blue,grace@example.com
Henry Gold,henry@example.com
Isla Brown,isla@example.com
Jack Red,jack@example.com
Alice Smith,alice@example.com
HR Automation,m2@corp.com
Charlie Lee,charlie@example.com
CRM Integration,m4@corp.com
Mobile App,m5@corp.com
Eva Green,eva@example.com
ERP Development,m7@corp.com
Security Upgrade,m8@corp.com
Cloud Migration,m9@corp.com
Chatbot Assistant,m10@corp.com
